id,type,name,code,status,create_timestamp,edit_timestamp,create_user_id,edit_user_id
1,site,Site,site,active,,,,
2,fac_area,Electrical Panel Room,panel_room,active,,,,
3,fac_area,Workshop Area,workhop_area,active,,,,
4,fac_area,DG Area,dg_area,active,,,,
5,loc_type,Panel,panel,active,,,,
6,loc_type,Distribution Board (DB),db,active,,,,
7,loc_type,MCB,mcb,active,,,,
8,loc_type,ACB,acb,active,,,,
9,loc_type,Cable,cable,active,,,,
10,loc_type,Feeder,feeder,active,,,,
11,loc_type,Floor Wall Resistance Route,fwr_route,active,,,,
12,loc_type,RCCB,rccb,active,,,,
13,loc_type,Portable Appliances,port_app,active,,,,
14,fac_area,Office Area,office_area,active,,,,
15,loc_type,PDU,pdu,active,,,,
16,loc_type,Socket,socket,active,,,,
17,loc_type,Earth Pit,earth_pit,active,,,,
18,fac_area,Control Room,control_room,active,,,,
19,loc_type,Starter,starter,active,,,,
